,tweet_id,retweet_count,favorite_count
0,892420643555336193,8491,38520
1,892177421306343426,6244,33024
2,891815181378084864,4139,24853
3,891689557279858688,8605,41896
4,891327558926688256,9348,40044
5,891087950875897856,3096,20086
6,890971913173991426,2059,11760
7,890729181411237888,18824,65067
8,890609185150312448,4251,27625
9,890240255349198849,7373,31706
10,890006608113172480,7299,30473
11,889880896479866881,4953,27601
12,889665388333682689,10021,47813
13,889638837579907072,4532,26983
14,889531135344209921,2228,14993
15,889278841981685760,5401,25123
16,888917238123831296,4483,28895
17,888804989199671297,4316,25413
18,888554962724278272,3570,19760
19,888078434458587136,3479,21612
20,887705289381826560,5369,29971
21,887517139158093824,11631,45948
22,887473957103951883,18137,68647
23,887343217045368832,10362,33454
24,887101392804085760,5936,30339
25,886983233522544640,7746,34929
26,886736880519319552,3280,11984
27,886680336477933568,4449,22270
28,886366144734445568,3188,21047
29,886267009285017600,4,116
30,886258384151887873,6254,27794
31,886054160059072513,104,0
32,885984800019947520,6791,32486
33,885528943205470208,6406,35746
34,885518971528720385,3748,20301
35,885311592912609280,18529,0
36,885167619883638784,4367,21798
37,884925521741709313,18373,76965
38,884876753390489601,5769,27753
39,884562892145688576,4851,24143
40,884441805382717440,5632,26815
41,884247878851493888,20385,72549
42,884162670584377345,2972,20245
43,883838122936631299,3430,21754
44,883482846933004288,9926,45649
45,883360690899218434,3666,22413
46,883117836046086144,6654,36972
47,882992080364220416,3906,23805
48,882762694511734784,4906,28133
49,882627270321602560,6075,27738
50,882268110199369728,11565,44685
51,882045870035918850,4965,29154
52,881906580714921986,3392,24143
53,881666595344535552,10642,50239
54,881633300179243008,7,127
55,881536004380872706,15919,49156
56,881268444196462592,5152,22941
57,880935762899988482,2773,16904
58,880872448815771648,3807,21149
59,880465832366813184,6274,28345
60,880221127280381952,4223,26914
61,880095782870896641,4359,27459
62,879862464715927552,3494,22186
63,879674319642796034,10,310
64,879492040517615616,3181,23256
65,879415818425184262,44067,105245
66,879376492567855104,3112,16658
67,879130579576475649,6834,0
68,879050749262655488,4711,22442
69,879008229531029506,2687,18853
70,878776093423087618,4133,19294
71,878604707211726852,7205,30082
72,878404777348136964,1292,0
73,878316110768087041,6649,0
74,878281511006478336,1292,7706
75,878057613040115712,6834,41798
76,877736472329191424,19120,79351
77,877611172832227328,81,0
78,877556246731214848,3821,22620
79,877316821321428993,5174,27215
80,877201837425926144,5593,26961
81,876838120628539392,3360,20559
82,876537666061221889,4622,23333
83,876484053909872640,2399,18655
84,876120275196170240,4691,27758
85,875747767867523072,4298,25049
86,875144289856114688,4931,21807
87,875097192612077568,6052,27290
88,875021211251597312,4728,25347
89,874680097055178752,4662,27708
90,874434818259525634,14804,0
91,874296783580663808,4128,25957
92,874057562936811520,3967,22550
93,874012996292530176,10489,34498
94,873580283840344065,3965,24141
95,873337748698140672,1594,0
96,873213775632977920,1594,7221
97,872967104147763200,5435,27300
98,872820683541237760,3714,14676
99,872668790621863937,28,0
100,872620804844003328,3723,20731
101,872486979161796608,9065,40599
102,872261713294495745,6379,34143
103,872122724285648897,8183,34391
104,871879754684805121,11300,38006
105,871762521631449091,3506,20244
106,871515927908634625,3481,20202
107,871166179821445120,5752,0
108,871102520638267392,5557,20933
109,871032628920680449,3846,22649
110,870804317367881728,6274,33643
111,870726314365509632,3,120
112,870656317836468226,2672,12426
113,870374049280663552,26539,82822
114,870308999962521604,4208,21859
115,870063196459192321,8467,36780
116,869772420881756160,10180,42531
117,869702957897576449,6423,28319
118,869596645499047938,3177,16034
119,869227993411051520,3846,20519
120,868880397819494401,14770,65983
121,868639477480148993,2138,0
122,868622495443632128,5882,27375
123,868552278524837888,2138,10210
124,867900495410671616,4253,24342
125,867774946302451713,7485,34243
126,867421006826221569,2571,16257
127,867072653475098625,129,0
128,867051520902168576,8037,32516
129,866720684873056260,4924,20260
130,866686824827068416,3565,19506
131,866450705531457537,36056,123459
132,866334964761202691,14804,53144
133,866094527597207552,8592,0
134,865718153858494464,5749,25864
135,865359393868664832,5126,26764
136,865006731092295680,7874,28332
137,864873206498414592,8951,32682
138,864279568663928832,3123,14800
139,864197398364647424,9197,30556
140,863907417377173506,4254,20888
141,863553081350529029,4291,15497
142,863471782782697472,2542,0
143,863432100342583297,5409,24163
144,863427515083354112,99,2294
145,863079547188785154,1129,8893
146,863062471531167744,2542,8658
147,862831371563274240,5236,19472
148,862722525377298433,3641,17330
149,862457590147678208,5112,20868
150,862096992088072192,24048,75775
151,861383897657036800,11042,36670
152,861288531465048066,4303,17482
153,861005113778896900,3929,17012
154,860981674716409858,2239,0
155,860924035999428608,845,0
156,860563773140209665,2239,7649
157,860524505164394496,5446,24059
158,860276583193509888,3595,18623
159,860184849394610176,6035,16995
160,860177593139703809,31987,0
161,859924526012018688,4241,19915
162,859851578198683649,3630,15700
163,859607811541651456,1630,18962
164,859196978902773760,31374,91770
165,859074603037188101,14107,34603
166,858860390427611136,8453,0
167,858843525470990336,3608,15862
168,858471635011153920,5035,21988
169,858107933456039936,3030,16089
170,857989990357356544,2689,16478
171,857746408056729600,11059,35045
172,857393404942143489,1710,6063
173,857263160327368704,4713,20489
174,857214891891077121,19,236
175,857062103051644929,178,0
176,857029823797047296,4171,19389
177,856602993587888130,11169,0
178,856543823941562368,3008,16681
179,856526610513747968,1961,12125
180,856330835276025856,712,0
181,856288084350160898,17,531
182,856282028240666624,6620,28428
183,855862651834028034,28,357
184,855860136149123072,1085,5162
185,855857698524602368,2222,12159
186,855851453814013952,18545,46654
187,855818117272018944,5700,27320
188,855459453768019968,8644,30814
189,855245323840757760,6282,0
190,855138241867124737,48,0
191,854732716440526848,6430,23546
192,854482394044301312,7245,30241
193,854365224396361728,4947,19509
194,854120357044912130,7918,33000
195,854010172552949760,3324,16726
196,853760880890318849,6128,29601
197,853639147608842240,10726,36098
198,853299958564483072,3772,16077
199,852936405516943360,2144,0
200,852912242202992640,1950,9392
201,852672615818899456,2281,15470
202,852553447878664193,3730,16989
203,852311364735569921,10503,34420
204,852226086759018497,7229,20787
205,852189679701164033,1679,11914
206,851953902622658560,10258,0
207,851861385021730816,23,0
208,851591660324737024,3689,16857
209,851464819735769094,7533,25264
210,851224888060895234,6100,21535
211,850753642995093505,9912,32342
212,850380195714523136,2791,13617
213,850333567704068097,357,3572
214,850145622816686080,4088,17026
215,850019790995546112,5232,21336
216,849776966551130114,8126,31807
217,849668094696017920,5306,0
218,849412302885593088,3357,16577
219,849336543269576704,2022,11944
220,849051919805034497,9126,44417
221,848690551926992896,4623,26375
222,848324959059550208,4932,25903
223,848213670039564288,805,8553
224,848212111729840128,3306,17105
225,847978865427394560,3492,0
226,847971574464610304,463,0
227,847962785489326080,5483,24617
228,847842811428974592,1444,5748
229,847617282490613760,452,7352
230,847606175596138505,3636,19662
231,847251039262605312,4611,21434
232,847157206088847362,6294,20957
233,847116187444137987,3427,22475
234,846874817362120707,4217,21081
235,846514051647705089,12503,46930
236,846505985330044928,3334,14866
237,846153765933735936,9769,33328
238,846139713627017216,10615,32417
239,846042936437604353,3110,16811
240,845812042753855489,9433,30813
241,845677943972139009,5153,26400
242,845397057150107648,1959,8022
243,845306882940190720,5816,24539
244,845098359547420673,8270,0
245,844979544864018432,2793,14350
246,844973813909606400,3465,15917
247,844704788403113984,11169,40787
248,844580511645339650,3393,17348
249,844223788422217728,2373,14353
250,843981021012017153,3155,15916
251,843856843873095681,4995,22553
252,843604394117681152,2970,17799
253,843235543001513987,6558,22662
254,842846295480000512,3882,16045
255,842765311967449089,1378,7121
256,842535590457499648,3788,19088
257,842163532590374912,6282,25838
258,842115215311396866,3277,14797
259,841833993020538882,16668,0
260,841680585030541313,8390,27063
261,841439858740625411,3978,13352
262,841320156043304961,5883,20861
263,841314665196081154,5100,16745
264,841077006473256960,5752,24224
265,840761248237133825,1902,0
266,840728873075638272,17585,0
267,840698636975636481,2,192
268,840696689258311684,1069,13002
269,840632337062862849,1902,9499
270,840370681858686976,4945,17424
271,840268004936019968,6225,20410
272,839990271299457024,2500,14210
273,839549326359670784,8453,29144
274,839290600511926273,154,0
275,839239871831150596,7134,28824
276,838952994649550848,4324,20784
277,838921590096166913,2258,11837
278,838916489579200512,37,0
279,838831947270979586,12059,0
280,838561493054533637,1442,11572
281,838476387338051585,5247,23968
282,838201503651401729,11017,0
283,838150277551247360,357,1779
284,838085839343206401,0,147
285,838083903487373313,3432,18693
286,837820167694528512,8592,36266
287,837482249356513284,481,4067
288,837471256429613056,2514,13571
289,837366284874571778,5772,22432
290,837110210464448512,2614,17001
291,836989968035819520,2500,13523
292,836753516572119041,5033,20420
293,836677758902222849,2428,13395
294,836648853927522308,603,0
295,836397794269200385,30135,0
296,836380477523124226,3220,15646
297,836260088725786625,4682,22592
298,836001077879255040,4693,20312
299,835685285446955009,8929,0
300,835574547218894849,3963,18916
301,835536468978302976,1859,0
302,835309094223372289,22992,0
303,835297930240217089,3268,17426
304,835264098648616962,1859,8257
305,835246439529840640,79,2218
306,835172783151792128,6281,27776
307,835152434251116546,3308,23889
308,834931633769889797,1805,11526
309,834786237630337024,5980,22467
310,834574053763584002,2780,14577
311,834477809192075265,11676,0
312,834458053273591808,1828,10234
313,834209720923721728,5252,21933
314,834167344700198914,3971,16758
315,834089966724603904,2328,10696
316,834086379323871233,2423,13894
317,833863086058651648,2637,14272
318,833826103416520705,3765,16328
319,833732339549220864,239,0
320,833722901757046785,3505,22007
321,833479644947025920,2264,15833
322,833124694597443584,5306,21508
323,832998151111966721,2432,14180
324,832769181346996225,40,0
325,832757312314028032,3970,17915
326,832682457690300417,3214,12663
327,832645525019123713,568,3112
328,832636094638288896,3070,16913
329,832397543355072512,2446,12732
330,832369877331693569,3492,18277
331,832273440279240704,2561,12055
332,832215909146226688,6794,0
333,832215726631055365,10296,0
334,832088576586297345,2,71
335,832040443403784192,10670,0
336,832032802820481025,5114,19036
337,831939777352105988,6742,25599
338,831926988323639298,36,364
339,831911600680497154,7162,29491
340,831670449226514432,1993,11142
341,831650051525054464,2144,7660
342,831552930092285952,2517,9607
343,831322785565769729,1671,9794
344,831315979191906304,1227,6952
345,831309418084069378,2678,12503
346,831262627380748289,2256,12707
347,830956169170665475,1648,8515
348,830583320585068544,18529,71460
349,830173239259324417,6277,0
350,830097400375152640,3315,10507
351,829878982036299777,5521,0
352,829861396166877184,2159,13078
353,829501995190984704,11676,33919
354,829449946868879360,2234,11178
355,829374341691346946,10258,37016
356,829141528400556032,8167,26221
357,829011960981237760,17851,56646
358,828801551087042563,3739,0
359,828770345708580865,6478,27337
360,828708714936930305,12365,39139
361,828650029636317184,1481,10167
362,828409743546925057,1267,6719
363,828408677031882754,1409,8173
364,828381636999917570,2444,13507
365,828376505180889089,1171,7903
366,828372645993398273,3230,13405
367,828361771580813312,186,2344
368,828046555563323392,3156,12583
369,828011680017821696,2365,11088
370,827933404142436356,5756,21558
371,827653905312006145,3313,16522
372,827600520311402496,1042,7929
373,827324948884643840,3378,17011
374,827199976799354881,2468,11329
375,826958653328592898,5521,23148
376,826848821049180160,11314,39106
377,826615380357632002,4348,0
378,826598799820865537,281,5486
379,826598365270007810,2586,10792
380,826476773533745153,4629,19736
381,826240494070030336,2856,14215
382,826204788643753985,1030,5228
383,826115272272650244,3460,16808
384,825876512159186944,2060,11214
385,825829644528148480,2744,13659
386,825535076884762624,18996,55815
387,825147591692263424,5052,19627
388,825120256414846976,1424,0
389,825026590719483904,1424,6814
390,824796380199809024,6067,0
391,824775126675836928,3898,16049
392,824663926340194305,1923,10802
393,824325613288833024,11472,12634
394,824297048279236611,4269,16132
395,824025158776213504,653,5123
396,823939628516474880,3002,11440
397,823719002937630720,12441,0
398,823699002998870016,2672,13502
399,823581115634085888,2931,14002
400,823333489516937216,29,751
401,823322678127919110,4448,16915
402,823269594223824897,10906,0
403,822975315408461824,3807,18576
404,822872901745569793,48613,142264
405,822859134160621569,2525,14175
406,822647212903690241,7095,0
407,822610361945911296,3280,15874
408,822489057087389700,7095,19514
409,822462944365645825,16296,30679
410,822244816520155136,10906,37678
411,822163064745328640,5340,0
412,821886076407029760,2596,12214
413,821813639212650496,3703,0
414,821765923262631936,1848,9057
415,821522889702862852,1955,8620
416,821421320206483457,6199,0
417,821407182352777218,4829,12672
418,821153421864615936,10,274
419,821149554670182400,2228,9401
420,821107785811234820,2362,10333
421,821044531881721856,2536,13621
422,820837357901512704,7420,0
423,820749716845686786,11017,33987
424,820690176645140481,3572,13141
425,820494788566847489,628,0
426,820446719150292993,2860,0
427,820314633777061888,628,3589
428,820078625395449857,6968,21315
429,820013781606658049,1312,0
430,819952236453363712,1312,5727
431,819924195358416896,5375,13859
432,819711362133872643,3486,14498
433,819588359383371776,2185,10300
434,819347104292290561,1335,7777
435,819238181065359361,449,2467
436,819227688460238848,7420,24880
437,819015337530290176,40670,0
438,819015331746349057,20981,0
439,819006400881917954,20981,48618
440,819004803107983360,40670,93066
441,818646164899774465,23163,0
442,818627210458333184,8273,23929
443,818614493328580609,2873,10631
444,818588835076603904,6832,0
445,818536468981415936,2753,11772
446,818307523543449600,9034,0
447,818259473185828864,2540,11877
448,818145370475810820,2889,13251
449,817908911860748288,874,5215
450,817827839487737858,30135,55973
451,817777686764523521,2962,11539
452,817536400337801217,3372,12720
453,817502432452313088,3775,0
454,817423860136083457,16668,36968
455,817415592588222464,1074,6072
456,817181837579653120,9468,0
457,817171292965273600,2236,9412
458,817120970343411712,2911,13111
459,817056546584727552,1834,9244
460,816829038950027264,5246,0
461,816816676327063552,2267,10772
462,816697700272001025,2451,10581
463,816450570814898180,9034,32997
464,816336735214911488,2173,9287
465,816091915477250048,2394,9640
466,816062466425819140,1163,0
467,816014286006976512,5913,0
468,815990720817401858,1163,5395
469,815966073409433600,9468,24255
470,815745968457060357,4599,0
471,815736392542261248,2524,10625
472,815639385530101762,1836,8877
473,815390420867969024,4231,11170
474,814986499976527872,1438,8247
475,814638523311648768,3019,12198
476,814578408554463233,6475,0
477,814530161257443328,2058,9355
478,814153002265309185,9683,31052
479,813944609378369540,3588,0
480,813910438903693312,2100,10032
481,813812741911748608,15611,39260
482,813800681631023104,1961,9021
483,813217897535406080,8128,20204
484,813202720496779264,2007,9910
485,813187593374461952,4869,21447
486,813172488309972993,2136,10091
487,813157409116065792,2469,8374
488,813142292504645637,2630,9088
489,813130366689148928,494,4832
490,813127251579564032,3493,12827
491,813112105746448384,3075,11179
492,813096984823349248,4022,11375
493,813081950185472002,3088,10673
494,813066809284972545,2170,8602
495,813051746834595840,8165,22656
496,812781120811126785,2128,8182
497,812747805718642688,7747,0
498,812709060537683968,1597,7159
499,812503143955202048,1366,6573
500,812466873996607488,2149,8652
501,812372279581671427,4094,14818
502,811985624773361665,1567,7856
503,811744202451197953,1797,8161
504,811647686436880384,827,6043
505,811627233043480576,3499,13867
506,811386762094317568,7140,22620
507,810984652412424192,1594,5772
508,810896069567610880,1995,9798
509,810657578271330305,2949,11865
510,810284430598270976,12756,38382
511,810254108431155201,3739,15899
512,809920764300447744,4348,16769
513,809808892968534016,5475,0
514,809448704142938112,1640,7497
515,809220051211603969,6277,21595
516,809084759137812480,3914,14306
517,808838249661788160,3391,10932
518,808733504066486276,2417,8561
519,808501579447930884,2901,12230
520,808344865868283904,23163,46032
521,808134635716833280,6667,0
522,808106460588765185,2441,9438
523,808001312164028416,3943,13613
524,807621403335917568,4113,15782
525,807106840509214720,60484,122083
526,807059379405148160,8204,0
527,807010152071229440,4261,14099
528,806629075125202948,39020,81501
529,806620845233815552,6175,0
530,806576416489959424,2146,5250
531,806542213899489280,2647,11060
532,806242860592926720,13070,0
533,806219024703037440,1339,6950
534,805958939288408065,6012,0
535,805932879469572096,2131,8960
536,805826884734976000,2048,7139
537,805823200554876929,8995,0
538,805520635690676224,1848,6209
539,805487436403003392,2829,9494
540,805207613751304193,1901,8432
541,804738756058218496,4310,14895
542,804475857670639616,2249,6678
543,804413760345620481,3589,0
544,804026241225523202,18106,48366
545,803773340896923648,3100,10887
546,803692223237865472,8301,0
547,803638050916102144,4635,11919
548,803380650405482500,2076,8398
549,803321560782307329,5953,0
550,803276597545603072,2761,10876
551,802952499103731712,2246,9776
552,802624713319034886,3270,0
553,802600418706604034,1641,7715
554,802572683846291456,2807,9695
555,802323869084381190,6538,17633
556,802265048156610565,1518,6935
557,802239329049477120,2910,9843
558,802185808107208704,297,0
559,801958328846974976,1913,8371
560,801854953262350336,261,1910
561,801538201127157760,2306,8888
562,801285448605831168,929,6574
563,801167903437357056,6667,26599
564,801127390143516673,4446,0
565,801115127852503040,2335,8763
566,800859414831898624,107,747
567,800855607700029440,1818,0
568,800751577355128832,3104,11383
569,800513324630806528,3362,14255
570,800459316964663297,2408,10255
571,800443802682937345,4830,0
572,800388270626521089,3133,12092
573,800188575492947969,4405,0
574,800141422401830912,2860,16591
575,800018252395122689,14724,30793
576,799774291445383169,5244,0
577,799757965289017345,2418,9122
578,799422933579902976,2136,8726
579,799308762079035393,6196,0
580,799297110730567681,3097,10770
581,799063482566066176,2746,8782
582,798933969379225600,5015,14290
583,798925684722855936,1601,8063
584,798705661114773508,7408,0
585,798701998996647937,8736,0
586,798697898615730177,7270,0
587,798694562394996736,5546,0
588,798686750113755136,2597,0
589,798682547630837760,5288,0
590,798673117451325440,6221,0
591,798665375516884993,4344,0
592,798644042770751489,2070,0
593,798628517273620480,2200,0
594,798585098161549313,6393,0
595,798576900688019456,6570,0
596,798340744599797760,3758,0
597,798209839306514432,2852,11267
598,797971864723324932,3511,12656
599,797545162159308800,5427,15750
600,797236660651966464,7413,21730
601,797165961484890113,31,250
602,796904159865868288,9962,0
603,796865951799083009,2126,8330
604,796759840936919040,3421,12898
605,796563435802726400,8179,0
606,796484825502875648,1966,8226
607,796387464403357696,4655,11956
608,796177847564038144,16005,0
609,796149749086875649,16005,35141
610,796125600683540480,1994,5361
611,796116448414461957,2709,9871
612,796080075804475393,2589,9168
613,796031486298386433,4126,11733
614,795464331001561088,26638,54131
615,795400264262053889,3204,10968
616,795076730285391872,6067,17630
617,794983741416415232,3780,0
618,794926597468000259,2590,11163
619,794355576146903043,11506,0
620,794332329137291264,2955,10374
621,794205286408003585,3701,9990
622,793962221541933056,5475,18289
623,793845145112371200,2097,9998
624,793614319594401792,3500,0
625,793601777308463104,1829,8667
626,793500921481273345,2668,11622
627,793286476301799424,10296,26754
628,793271401113350145,2642,9382
629,793256262322548741,9314,21700
630,793241302385262592,3669,11438
631,793226087023144960,3200,10677
632,793210959003287553,3151,9709
633,793195938047070209,6291,16597
634,793180763617361921,2225,7517
635,793165685325201412,3107,10211
636,793150605191548928,1909,6711
637,793135492858580992,2784,7015
638,793120401413079041,4368,13790
639,792913359805018113,4493,15593
640,792883833364439040,4765,12279
641,792773781206999040,1878,7978
642,792394556390137856,4787,14630
643,792050063153438720,2010,7801
644,791821351946420224,23503,0
645,791784077045166082,10799,0
646,791780927877898241,4243,0
647,791774931465953280,24821,48980
648,791672322847637504,3500,12761
649,791406955684368384,4599,14265
650,791312159183634433,2843,9538
651,791026214425268224,4605,0
652,790987426131050500,2393,10758
653,790946055508652032,5246,18027
654,790723298204217344,2594,0
655,790698755171364864,2131,8897
656,790581949425475584,8009,22460
657,790337589677002753,2087,8492
658,790277117346975746,3588,13622
659,790227638568808452,3993,0
660,789986466051088384,2594,10046
661,789960241177853952,4649,0
662,789903600034189313,4618,11291
663,789628658055020548,1987,8175
664,789599242079838210,2167,7350
665,789530877013393408,3780,12770
666,789314372632018944,2567,9343
667,789280767834746880,5529,0
668,789268448748703744,2889,9891
669,789137962068021249,3118,10543
670,788908386943430656,13858,29738
671,788765914992902144,11506,29769
672,788552643979468800,8063,0
673,788412144018661376,5921,16912
674,788178268662984705,2370,7857
675,788150585577050112,1452,6670
676,788070120937619456,3812,0
677,788039637453406209,1482,6678
678,787810552592695296,3410,9412
679,787717603741622272,3104,11069
680,787397959788929025,3162,11763
681,787322443945877504,1949,8448
682,787111942498508800,7483,0
683,786963064373534720,8929,28827
684,786729988674449408,2698,0
685,786709082849828864,6794,19736
686,786664955043049472,2866,11562
687,786595970293370880,3461,10194
688,786363235746385920,3914,11820
689,786286427768250368,3194,8650
690,786233965241827333,5340,16618
691,786051337297522688,171,1557
692,786036967502913536,7891,0
693,785927819176054784,3530,12321
694,785872687017132033,2031,7250
695,785639753186217984,2469,8481
696,785533386513321988,2242,9880
697,785515384317313025,1411,6615
698,785264754247995392,1830,7875
699,785170936622350336,5425,13117
700,784826020293709826,3589,10983
701,784517518371221505,2828,9719
702,784431430411685888,1428,6164
703,784183165795655680,8995,21788
704,784057939640352768,12441,32414
705,783839966405230592,12059,32576
706,783821107061198850,2198,7977
707,783695101801398276,3588,11308
708,783466772167098368,2511,9158
709,783391753726550016,6150,18296
710,783347506784731136,6259,0
711,783334639985389568,13070,31663
712,783085703974514689,2474,8817
713,782969140009107456,8204,26135
714,782747134529531904,1555,8081
715,782722598790725632,6012,18677
716,782598640137187329,2089,8421
717,782305867769217024,6199,18053
718,782021823840026624,6952,0
719,781955203444699136,3739,12013
720,781661882474196992,3011,11305
721,781655249211752448,1247,4333
722,781524693396357120,6175,22449
723,781308096455073793,2832,7717
724,781251288990355457,2338,9120
725,781163403222056960,3034,10557
726,780931614150983680,8179,23407
727,780858289093574656,2216,7785
728,780800785462489090,1445,5970
729,780601303617732608,3703,13060
730,780543529827336192,1929,6813
731,780496263422808064,4134,0
732,780476555013349377,129,0
733,780459368902959104,1184,5709
734,780192070812196864,2486,9417
735,780092040432480260,2560,0
736,780074436359819264,5559,13249
737,779834332596887552,7891,20565
738,779377524342161408,3458,9547
739,779124354206535695,20456,0
740,779123168116150273,4048,12757
741,779056095788752897,5035,15996
742,778990705243029504,8103,21655
743,778774459159379968,11071,0
744,778764940568104960,408,926
745,778748913645780993,1484,7458
746,778650543019483137,1662,6240
747,778624900596654080,1124,5015
748,778408200802557953,4838,14742
749,778396591732486144,13608,0
750,778383385161035776,1224,6311
751,778286810187399168,3682,11223
